section,name,value,denominator
summary,evaluated_case_count,25,
summary,exact_set_match_accuracy,0.08,
summary,at_least_one_part_recall,0.125,
summary,all_parts_recall,0.041666666666666664,
summary,part_level_precision,0.12,
summary,part_level_recall,0.09375,
summary,part_level_f1,0.10526315789473684,
summary,unknown_part_rate,0.04,
summary,composite_full_recall,0.0,
summary,correct_control_false_positive_rate,0.0,
false_confident@0.70,threshold,0.7,
false_confident@0.70,false_confident_count,22,
false_confident@0.70,high_confidence_prediction_count,25,
false_confident@0.70,false_confident_identity_rate,0.88,
false_confident@0.70,false_confident_case_count,21,
false_confident@0.70,evaluated_case_count,25,
false_confident@0.70,false_confident_case_rate,0.84,
false_confident@0.80,threshold,0.8,
false_confident@0.80,false_confident_count,22,
false_confident@0.80,high_confidence_prediction_count,25,
false_confident@0.80,false_confident_identity_rate,0.88,
false_confident@0.80,false_confident_case_count,21,
false_confident@0.80,evaluated_case_count,25,
false_confident@0.80,false_confident_case_rate,0.84,
false_confident@0.90,threshold,0.9,
false_confident@0.90,false_confident_count,22,
false_confident@0.90,high_confidence_prediction_count,25,
false_confident@0.90,false_confident_identity_rate,0.88,
false_confident@0.90,false_confident_case_count,21,
false_confident@0.90,evaluated_case_count,25,
false_confident@0.90,false_confident_case_rate,0.84,
confidence_bin,0.00-0.49,,0
confidence_bin,0.50-0.69,,0
confidence_bin,0.70-0.79,,0
confidence_bin,0.80-0.89,,0
confidence_bin,0.90-1.00,0.12,25
per_error_type,correct,1.0,1
per_error_type,missing,0.0625,16
per_error_type,wrongpart,0.0,8
per_view,back,0.14285714285714285,7
per_view,bottom,0.0,3
per_view,front,0.0,3
per_view,left,0.3333333333333333,3
per_view,right,0.0,3
per_view,top,0.0,6
