image_id,image_path,model_id,step_id,view_angle,overall_error_type,is_composite_error,affected_part_ids,error_components,relation_type,expected_parts,observed_parts,annotation_status,reviewer,review_notes,source_evidence
model03_step03_extrapart-A01_back_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_back_01.jpg,model03,step03,back,extrapart,false,unresolved_extra_part,extrapart,unknown,,,needs_second_review,,Canonical extra-part ID is unresolved across all six views,Test/reference image comparison; canonical ID absent from current part library
model03_step03_extrapart-A01_bottom_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_bottom_01.jpg,model03,step03,bottom,extrapart,false,unresolved_extra_part,extrapart,unknown,,,needs_second_review,,Canonical extra-part ID is unresolved across all six views,Test/reference image comparison; canonical ID absent from current part library
model03_step03_extrapart-A01_front_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_front_01.jpg,model03,step03,front,extrapart,false,unresolved_extra_part,extrapart,unknown,,,needs_second_review,,Canonical extra-part ID is unresolved across all six views,Test/reference image comparison; canonical ID absent from current part library
model03_step03_extrapart-A01_left_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_left_01.jpg,model03,step03,left,extrapart,false,unresolved_extra_part,extrapart,unknown,,,needs_second_review,,Canonical extra-part ID is unresolved across all six views,Test/reference image comparison; canonical ID absent from current part library
model03_step03_extrapart-A01_right_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_right_01.jpg,model03,step03,right,extrapart,false,unresolved_extra_part,extrapart,unknown,,,needs_second_review,,Canonical extra-part ID is unresolved across all six views,Test/reference image comparison; canonical ID absent from current part library
model03_step03_extrapart-A01_top_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_top_01.jpg,model03,step03,top,extrapart,false,unresolved_extra_part,extrapart,unknown,,,needs_second_review,,Canonical extra-part ID is unresolved across all six views,Test/reference image comparison; canonical ID absent from current part library
model03_step03_missingpart-A01_back_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-A01_back_01.jpg,model03,step03,back,missingpart,false,PIN_RED_SHORT,missingpart,single,PIN_RED_SHORT,,confirmed,,Team-confirmed missing red short rod; verify location per view,Team handoff; reference image; expected state; part library
model03_step03_missingpart-A01_back_02.jpg,input/missingpart/model03_step03/model03_step03_missingpart-A01_back_02.jpg,model03,step03,back,missingpart,false,PIN_RED_SHORT,missingpart,single,PIN_RED_SHORT,,confirmed,,Team-confirmed missing red short rod; verify location per view,Team handoff; reference image; expected state; part library
model03_step03_missingpart-A01_bottom_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-A01_bottom_01.jpg,model03,step03,bottom,missingpart,false,PIN_RED_SHORT,missingpart,single,PIN_RED_SHORT,,confirmed,,Team-confirmed missing red short rod; verify location per view,Team handoff; reference image; expected state; part library
model03_step03_missingpart-A01_front_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-A01_front_01.jpg,model03,step03,front,missingpart,false,PIN_RED_SHORT,missingpart,single,PIN_RED_SHORT,,confirmed,,Team-confirmed missing red short rod; verify location per view,Team handoff; reference image; expected state; part library
model03_step03_missingpart-A01_left_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-A01_left_01.jpg,model03,step03,left,missingpart,false,PIN_RED_SHORT,missingpart,single,PIN_RED_SHORT,,confirmed,,Team-confirmed missing red short rod; verify location per view,Team handoff; reference image; expected state; part library
model03_step03_missingpart-A01_right_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-A01_right_01.jpg,model03,step03,right,missingpart,false,PIN_RED_SHORT,missingpart,single,PIN_RED_SHORT,,confirmed,,Team-confirmed missing red short rod; verify location per view,Team handoff; reference image; expected state; part library
model03_step03_missingpart-A01_top_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-A01_top_01.jpg,model03,step03,top,missingpart,false,PIN_RED_SHORT,missingpart,single,PIN_RED_SHORT,,confirmed,,Team-confirmed missing red short rod; verify location per view,Team handoff; reference image; expected state; part library
model03_step03_missingpart-A01_top_02.jpg,input/missingpart/model03_step03/model03_step03_missingpart-A01_top_02.jpg,model03,step03,top,missingpart,false,PIN_RED_SHORT,missingpart,single,PIN_RED_SHORT,,confirmed,,Team-confirmed missing red short rod; verify location per view,Team handoff; reference image; expected state; part library
model03_step03_missingpart-B01_back_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-B01_back_01.jpg,model03,step03,back,missingpart,false,WHEEL_BLUE_SMALL,missingpart,single,WHEEL_BLUE_SMALL,,confirmed,,Team-confirmed missing wheel mapped to formal small-wheel ID,Team handoff; reference image; expected state; part library
model03_step03_missingpart-B01_back_02.jpg,input/missingpart/model03_step03/model03_step03_missingpart-B01_back_02.jpg,model03,step03,back,missingpart,false,WHEEL_BLUE_SMALL,missingpart,single,WHEEL_BLUE_SMALL,,confirmed,,Team-confirmed missing wheel mapped to formal small-wheel ID,Team handoff; reference image; expected state; part library
model03_step03_missingpart-B01_bottom_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-B01_bottom_01.jpg,model03,step03,bottom,missingpart,false,WHEEL_BLUE_SMALL,missingpart,single,WHEEL_BLUE_SMALL,,confirmed,,Team-confirmed missing wheel mapped to formal small-wheel ID,Team handoff; reference image; expected state; part library
model03_step03_missingpart-B01_front_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-B01_front_01.jpg,model03,step03,front,missingpart,false,WHEEL_BLUE_SMALL,missingpart,single,WHEEL_BLUE_SMALL,,confirmed,,Team-confirmed missing wheel mapped to formal small-wheel ID,Team handoff; reference image; expected state; part library
model03_step03_missingpart-B01_left_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-B01_left_01.jpg,model03,step03,left,missingpart,false,WHEEL_BLUE_SMALL,missingpart,single,WHEEL_BLUE_SMALL,,confirmed,,Team-confirmed missing wheel mapped to formal small-wheel ID,Team handoff; reference image; expected state; part library
model03_step03_missingpart-B01_right_01.jpg,input/missingpart/model03_step03/model03_step03_missingpart-B01_right_01.jpg,model03,step03,right,missingpart,false,WHEEL_BLUE_SMALL,missingpart,single,WHEEL_BLUE_SMALL,,confirmed,,Team-confirmed missing wheel mapped to formal small-wheel ID,Team handoff; reference image; expected state; part library
