image_id,file_name,image_path,source_split,model_id,step_id,view_angle,is_error,error_type,error_detail,evaluation_scope,filename_valid,inventory_error_type,inventory_filename_valid,review_status,reviewer,review_notes
input/criticalerror/model08_step05/model08_step05_criticalerror-A01_back_01.jpg,model08_step05_criticalerror-A01_back_01.jpg,input/criticalerror/model08_step05/model08_step05_criticalerror-A01_back_01.jpg,input,model08,step05,back,true,criticalerror,A01,in_scope,true,criticalerror,false,,,
input/criticalerror/model08_step05/model08_step05_criticalerror-A01_bottom_01.jpg,model08_step05_criticalerror-A01_bottom_01.jpg,input/criticalerror/model08_step05/model08_step05_criticalerror-A01_bottom_01.jpg,input,model08,step05,bottom,true,criticalerror,A01,in_scope,true,criticalerror,false,,,
input/criticalerror/model08_step05/model08_step05_criticalerror-A01_front_01.jpg,model08_step05_criticalerror-A01_front_01.jpg,input/criticalerror/model08_step05/model08_step05_criticalerror-A01_front_01.jpg,input,model08,step05,front,true,criticalerror,A01,in_scope,true,criticalerror,false,,,
input/criticalerror/model08_step05/model08_step05_criticalerror-A01_left_01.jpg,model08_step05_criticalerror-A01_left_01.jpg,input/criticalerror/model08_step05/model08_step05_criticalerror-A01_left_01.jpg,input,model08,step05,left,true,criticalerror,A01,in_scope,true,criticalerror,false,,,
input/criticalerror/model08_step05/model08_step05_criticalerror-A01_right_01.jpg,model08_step05_criticalerror-A01_right_01.jpg,input/criticalerror/model08_step05/model08_step05_criticalerror-A01_right_01.jpg,input,model08,step05,right,true,criticalerror,A01,in_scope,true,criticalerror,false,,,
input/criticalerror/model08_step05/model08_step05_criticalerror-A01_top_01.jpg,model08_step05_criticalerror-A01_top_01.jpg,input/criticalerror/model08_step05/model08_step05_criticalerror-A01_top_01.jpg,input,model08,step05,top,true,criticalerror,A01,in_scope,true,criticalerror,false,,,
input/extrapart/model03_step03/model03_step03_extrapart-A01_back_01.jpg,model03_step03_extrapart-A01_back_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_back_01.jpg,input,model03,step03,back,true,extra,A01,in_scope,true,extrapart,true,,,
input/extrapart/model03_step03/model03_step03_extrapart-A01_bottom_01.jpg,model03_step03_extrapart-A01_bottom_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_bottom_01.jpg,input,model03,step03,bottom,true,extra,A01,in_scope,true,extrapart,true,,,
input/extrapart/model03_step03/model03_step03_extrapart-A01_front_01.jpg,model03_step03_extrapart-A01_front_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_front_01.jpg,input,model03,step03,front,true,extra,A01,in_scope,true,extrapart,true,,,
input/extrapart/model03_step03/model03_step03_extrapart-A01_left_01.jpg,model03_step03_extrapart-A01_left_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_left_01.jpg,input,model03,step03,left,true,extra,A01,in_scope,true,extrapart,true,,,
input/extrapart/model03_step03/model03_step03_extrapart-A01_right_01.jpg,model03_step03_extrapart-A01_right_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_right_01.jpg,input,model03,step03,right,true,extra,A01,in_scope,true,extrapart,true,,,
input/extrapart/model03_step03/model03_step03_extrapart-A01_top_01.jpg,model03_step03_extrapart-A01_top_01.jpg,input/extrapart/model03_step03/model03_step03_extrapart-A01_top_01.jpg,input,model03,step03,top,true,extra,A01,in_scope,true,extrapart,true,,,
input/extrapart/model08_step05/model08_step05_extrapart-A01_back_01.jpg,model08_step05_extrapart-A01_back_01.jpg,input/extrapart/model08_step05/model08_step05_extrapart-A01_back_01.jpg,input,model08,step05,back,true,extra,A01,in_scope,true,extrapart,true,,,
