image_name,model_id,step_id,view_angle,ground_truth,gpt_result,is_error,decision_level,confidence,status,reference_image,raw_response_path,parsed_or_failed_path,error,detail
model03_step03_extrapart-A01_back_01.jpg,model03,step03,back,extrapart,extrapart,True,TP,0.95,success,model03_step03_correct-01_back_01.jpg,logs/current_raw_responses/model03_step03_extrapart-A01_back_01_attempt1_raw_20260701_160141_243320.txt,logs/compare_parsed_json/model03_step03_extrapart-A01_back_01_compare_parsed_20260701_160201_098494.json,,
model03_step03_extrapart-A01_bottom_01.jpg,model03,step03,bottom,extrapart,extrapart,True,TP,0.9,success,model03_step03_correct-01_bottom_01.jpg,logs/current_raw_responses/model03_step03_extrapart-A01_bottom_01_attempt1_raw_20260701_160202_929103.txt,logs/compare_parsed_json/model03_step03_extrapart-A01_bottom_01_compare_parsed_20260701_160214_849365.json,,
model03_step03_extrapart-A01_front_01.jpg,model03,step03,front,extrapart,extrapart,True,TP,0.95,success,model03_step03_correct-01_front_01.jpg,logs/current_raw_responses/model03_step03_extrapart-A01_front_01_attempt1_raw_20260701_160216_736096.txt,logs/compare_parsed_json/model03_step03_extrapart-A01_front_01_compare_parsed_20260701_160231_453751.json,,
model03_step03_extrapart-A01_left_01.jpg,model03,step03,left,extrapart,extrapart,True,TP,0.95,success,model03_step03_correct-01_left_01.jpg,logs/current_raw_responses/model03_step03_extrapart-A01_left_01_attempt1_raw_20260701_160233_442787.txt,logs/compare_parsed_json/model03_step03_extrapart-A01_left_01_compare_parsed_20260701_160246_720801.json,,
model03_step03_extrapart-A01_right_01.jpg,model03,step03,right,extrapart,extrapart,True,TP,0.95,success,model03_step03_correct-01_right_01.jpg,logs/current_raw_responses/model03_step03_extrapart-A01_right_01_attempt1_raw_20260701_160248_682409.txt,logs/compare_parsed_json/model03_step03_extrapart-A01_right_01_compare_parsed_20260701_160301_158921.json,,
model03_step03_extrapart-A01_top_01.jpg,model03,step03,top,extrapart,extrapart,True,TP,0.95,success,model03_step03_correct-01_top_01.jpg,logs/current_raw_responses/model03_step03_extrapart-A01_top_01_attempt1_raw_20260701_160303_151559.txt,logs/compare_parsed_json/model03_step03_extrapart-A01_top_01_compare_parsed_20260701_160313_925591.json,,
model03_step03_missingpart-A01_back_01.jpg,model03,step03,back,missingpart,missingpart,True,TP,0.95,success,model03_step03_correct-01_back_01.jpg,logs/current_raw_responses/model03_step03_missingpart-A01_back_01_attempt1_raw_20260701_160315_731483.txt,logs/compare_parsed_json/model03_step03_missingpart-A01_back_01_compare_parsed_20260701_160327_224995.json,,
model03_step03_missingpart-A01_back_02.jpg,model03,step03,back,missingpart,missingpart,True,TP,0.95,success,model03_step03_correct-01_back_01.jpg,logs/current_raw_responses/model03_step03_missingpart-A01_back_02_attempt1_raw_20260701_160328_983490.txt,logs/compare_parsed_json/model03_step03_missingpart-A01_back_02_compare_parsed_20260701_160342_895943.json,,
model03_step03_missingpart-A01_bottom_01.jpg,model03,step03,bottom,missingpart,missingpart,True,TP,0.95,success,model03_step03_correct-01_bottom_01.jpg,logs/current_raw_responses/model03_step03_missingpart-A01_bottom_01_attempt1_raw_20260701_160344_653926.txt,logs/compare_parsed_json/model03_step03_missingpart-A01_bottom_01_compare_parsed_20260701_160356_703501.json,,
model03_step03_missingpart-A01_front_01.jpg,model03,step03,front,missingpart,missingpart,True,TP,0.95,success,model03_step03_correct-01_front_01.jpg,logs/current_raw_responses/model03_step03_missingpart-A01_front_01_attempt1_raw_20260701_160358_542567.txt,logs/compare_parsed_json/model03_step03_missingpart-A01_front_01_compare_parsed_20260701_160410_808270.json,,
